,Image,CVE-bin-tool,Docker Scout,Docker Scout SBOM,Grype,Grype SBOM,Snyk,Trivy,Trivy SBOM
0,ecamp3travis_ecamp3-db-backup-restore:ddf84f5fa29b3a93ae3d71afb6fc15e5220d4b84,0,95,95,214,243,415,219,47
1,webhookrelay_webhookrelayd-arm:1.34.0,19,6,6,45,45,0,6,6
2,jrrs1_frontend-labon:1.0.1,5,0,0,10,10,0,0,0
3,resd_backend:30,75,0,0,6,6,0,0,0
4,httptoolkit_testserver:sha-710117c,13,20,20,27,27,0,19,19
5,itbuildgroup_authproxy:13384,0,17,17,76,76,0,82,11
6,atsproducts_ats.bus.dataservice-linux-x64-dev:3.3.23342.1-1,91,63,63,191,191,0,203,35
7,karljohns0n_nginx-more:php-8.2-nodejs,363,7,7,297,622,0,5,7
8,hubimage_knative-eventing-appender:v0.24.4,0,78,78,82,82,0,80,80
9,softradixad_itin-frontend:2025-04-16-11-59-13,5,8,8,18,18,0,8,6
10,pheblar_flask_python_currency-weather_app:8149f6b91098ab20986e2f92e83d4606232d3bdd,16,11,11,13,13,0,12,11
11,genedna_mega:mono-ui-0.1-pre-release,5,0,0,0,0,0,0,0
12,free5gc_smf:v3.4.0,35,49,49,69,69,0,45,45
13,swissnils_lids-inventsys-bridge:1.0.100-1743761501,2,3,3,22,22,0,7,3
14,stinobytes_pihole-unbound:sha-c71cec5,62,1,1,20,20,0,1,0
15,dockerhubaneo_armonik_pollingagent:0.33.0-SNAPSHOT.53.edf2da3a,0,24,24,72,72,158,77,11
16,devdisplayprobspl_auto_model_generator_frontend:1.0,25,37,37,85,85,0,66,25
17,vutiendat3601_echovibe-product:20250502.104410,2,34,34,117,117,223,121,11
18,hexlo_terraria-server-docker-arm64:1.4.2.3,133,55,21,662,662,823,806,187
19,findnfund_fnf-service-api:v0.1.0,109,64,64,190,190,0,205,34
20,mateuszskowron21_metrics-exporter:v1.0,13,32,32,103,103,216,108,14
21,altinityinfra_kerberos-kdc:1-69fee87ecd9bd26eef79aee8327eb5d1607acd91,84,71,53,40,40,1670,36,3
22,jonchang_tact:sha-9ddc20a,3,24,25,120,120,0,0,0
23,snilsumelis_hello-world-for-argocd:eb3214e,19,1,1,1,1,3,1,1
24,kolla_prometheus-base:2023.2-ubuntu-jammy,89,27,27,69,73,173,60,8
